PJB ID,Document Body
PJB 1898,"<p>Dear friends:</p><p>The last day for you to register to vote if you want to in the September primary is July 22. The last day of voter registration for the November 5 General Election will be September 16. If you don't register, you can't vote.<br/>.    .    .    .    .    .    .    .</p><p>If you have legal problems and can't afford a lawyer, try the new Hunter Street Office of the Atlanta Legal Aid Society. It is located at 947 Hunter Street, Northwest, and will handle civil cases, including consumer, welfare and housing cases.<br/>.    .    .    .    .    .    .    .</p><p>I have been chosen as a member of the Fifth District's 12-man delegation to the Executive Committee of the Georgia Democratic Forum and a member of the Advisory Board of the Martin Luther King Jr. Memorial Library. I have also been selected as a member of the Board of Directors of the Atlanta NAACP. These are great honors, and I will try to live up to them.<br/>.    .    .    .    .    .    .    .</p><p>The numbers of all of the Fulton County House Districts have been changed and will all be new next January. Our district, the 136th, is now the 111th. Rep. Grace Hamilton's District used to be the 137th; it is now the 112th. Rep. Ben Brown's District used to be the 135th; it is now the 110th.<br/>.    .    .    .    .    .    .    .</p><p>I know you have all read of Attorney Maynard Jackson, who is running against Senator Herman Talmadge. You can vote for Jackson in the September Democratic primary. Herman Talmadge has never done anything for us and never will. I hope you will urge all of your friends and neighbors..in Atlanta and all across Georgia..to vote for Maynard Jackson.<br/></p>                       <p>The statement on the right is from Rev. Ralph D. Abernathy. It explains what were the reasons behind the Poor People's Campaign in Washington. We should support efforts like this one, and do all we can to help those people who are not as fortunate as we are.</p><p>.    .    .    .    .    .    .    .</p><p>Congress will be considering gun control bills. After the killings of Martin Luther King, Jr. and Senator Robert Kennedy, we need a law that will regulate the sale and possession of guns. We have to buy licenses for cars, and we have to register our cars before we can drive them. We should have to do the same thing for guns. You can write your United States Senator and Congressman to let them know you want a strong gun law. Write to:  Senator Herman Talmadge and Senator Richard Russell, Senate Office Building, Washington, D. C., and to Representative Fletcher Thompson, House Office Building, Washington, D. C.</p><p>.    .    .    .    .    .    .    .</p><p>If you do write your Senators and Representatives, ask them to support the aims of the poor people's march. The statement at the left tells how great the problem of poverty is in America, and indicates it is getting worse instead of better.</p><p>Don't forget....write today!<br/></p>                       <p>Fulton County has switched to using voting machines called Vote Recorders. Some of you may have used machines like these in the last election; others may be using them for the first time. I am enclosing a leaflet which tells how the machines are operated. If you know of anyone who needs this information, please pass it on to them.</p><p>.    .    .    .    .    .    .    .</p><p>I want to thank all of you who wrote in about the last newsletter. I'm sorry this one is so late getting to you, but hope it also contains useful information. Once again, if you know of others in our District who would like to receive it, please send me their names and addresses.</p><p>.    .    .    .    .    .    .    .</p><p>I was honored to be invited to the funeral of the late Senator Robert Kennedy, and rode on the train from New York.....where services were held at St. Patrick's Cathedral.....to Washington where the body was interred at Arlington National Cemetery. We have suffered two great losses in the deaths of Senator Kennedy and Martin Luther King...we must all dedicate ourselves to the things they lived for.</p><p>.    .    .    .    .    .    .    .</p><p>If something comes up at night and you need help fast, call the Night Mayor's Office at City Hall. There is someone there from five o'clock until midnight every night and all day Saturday and Sunday afternoon and evening. You can get things done faster at night than you can in the daytime, some people say.</p><p>.    .    .    .    .    .    .    .</p><p>I have been trying to help some parents in the Harris Homes Housing Project get new playground equipment. They also want to see if the city will turn on the fire hydrants on Norcross Street during the day so that children there can have some place to cool off.</p><p>.    .    .    .    .    .    .    .<br/></p>                       <p>page four</p><p>The cartoon at the right shows how the poor are suffering because of the war in Viet Nam. This country sends $70 billion dollars a year for guns and weapons, and only $2 billion for the War on Poverty.</p><p>We will never have an end to poverty until we have an end to war.</p><p>.    .    .    .    .    .    .    .</p><p>Remember.....register, then....VOTE!</p><p>Sincerely,</p><p>Julian Bond</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 1894,"<p>Dear friends:</p><p>The last day for you to register to vote if you want to vote in the September primary is July 22. The last day of voter registration for the November 5 General Election will be September 16. If you don't register, you can't vote.<br/>.    .    .    .    .    .    .    .</p><p>If you have legal problems and can't afford a lawyer, try the new Hunter Street Office of the Atlanta Legal Aid Society. It is located at 947 Hunter Street, Northwest, and will handle civil cases, including consumer, welfare and housing cases.<br/>.    .    .    .    .    .    .    .</p><p>I have been chosen as a member of the Fifth District's 12-man delegation to the Executive Committee of the Georgia Democratic Forum and a member of the Advisory Board of the Martin Luther King Jr. Memorial Library. I have also been selected as a member of the Board of Directors of the Atlanta NAACP. These are great honors, and I will try to live up to them.<br/>.    .    .    .    .    .    .    .</p><p>The numbers of all of the Fulton County House Districts have been changed and will all be new next January. Our district, the 136th, is now the 111th. Rep. Grace Hamilton's District used to be the 137th; it is now the 112th. Rep. Ben Brown's District used to be the 135th; it is now the 110th.<br/>.    .    .    .    .    .    .    .</p><p>I know you have all read of Attorney Maynard Jackson, who is running against Senator Herman Talmadge. You can vote for Jackson in the September Democratic primary. Herman Talmadge has never done anything for and never will. I hope you will urge all of your friends and neighbors..in Atlanta and all across Georgia..to vote for Maynard Jackson.</p>                       <p>The statement on the right is from Rev. Ralph Abernathy. It explains what were the reasons behind the Poor People's Campaign in Washington. We should support efforts like this one, and do all we can to help those people who are not as fortunate as we are.</p><p>.    .    .    .    .    .    .    .</p><p>Congress will be considering gun control bills. After the killings of Martin Luther King, Jr. and Senator Robert Kennedy, we have to buy licenses for cars, and we have to register our cars before we can drive them. We should have to do the same thing for guns. You can write your United States Senator and Congressman to let them know you want a strong gun law. Write to:  Senator Herman Talmadge and Senator Richard Russell, Senate Office Building, Washington, D. C., and to Representative Fletcher Thompson, House Office Building, Washington, D. C.</p><p>.    .    .    .    .    .    .    .</p><p>If you do write your Senators and Representatives, ask them to support the aims of the poor people's march. The statement at the left tells how great the problem of poverty is in America, and indicates it is getting worse instead of better.</p><p>Don't forget....write today!</p>                       <p>Fulton County has switched to using voting machines called Vote Recorders. Some of you may have used machines like these in the last election; others may be using them for the first time. I am enclosing a leaflet which tells how the machines are operated. If you know of anyone who needs this information, please pass it on to them.</p><p>.    .    .    .    .    .    .    .</p><p>I want to thank all of you who wrote in about the last newsletter. I'm sorry this one is so late getting to you, but hope it is also contains useful information. Once again, if you know of others in our District who would like to receive it, please send me their names and addresses.</p><p>.    .    .    .    .    .    .    .</p><p>I was honored to be invited to the funeral of the late Senator Robert Kennedy, and rode on the train from New York.....where services were held at St. Patrick's Cathedral.....to Washington where the body was interred at Arlington National Cemetery. We have suffered two great losses in the deaths of Senator Kennedy and Martin Luther King...we must all dedicate ourselves to the things they lived for.</p><p>.    .    .    .    .    .    .    .</p><p>If something comes up at night and you need help fast, call the Night Mayor's Office at City Hall. There is someone there from five o'clock until midnight every night and all day Saturday and Sunday afternoon and evening. You can get things done faster at night than you can in the daytime, some people say.</p><p>.    .    .    .    .    .    .    .</p><p>I have been trying to help some parents in the Harris Homes Housing Project get new playground equipment. They also want to see if the city will turn on the fire hydrants on Norcross Street during the day so that children there can have some place to cool off.</p><p>.    .    .    .    .    .    .    .</p>                       <p>page four</p><p>The cartoon at the right shows how the poor are suffering because of the war in Viet Nam. This country spends $70 billion dollars a year for guns and weapons, and only $2 billion for the War on Poverty.</p><p>We will never have an end to poverty until we have an end to war.</p><p>.    .    .    .    .    .    .    .</p><p>Remember.....register, then....VOTE!</p><p>Sincerely,</p><p>Julian Bond</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 1823,"<p>JULIAN BOND<br/>Representative, District 136<br/>162 Eurahlee Street, S.W.<br/>Atlanta, Georgia  30314</p><p>COMMITTEES</p><p>EDUCATION<br/>Transportation<br/>INSURANCE<br/>Surety &amp; Title<br/>STATE INSTITUTIONS &amp; PROPERTY</p><p>Inner circle: [image:] Three pillars supporting an arch, underneath which stands a soldier with musket and bayonet. The text on the arch reads: CONSTITUTION, while the banners wrapped around the pillars read, left to right: WISDOM, JUSTICE, MODERATION. Outer circle: STATE OF GEORGIA 1776</p><p>The House of Representatives<br/>Atlanta, Georgia</p><p><u>M E M O R A N D U M</u></p><p>To:  Sen. Horace Ward, Sen. Leroy Brown, Rep. Ben Brown, Rep. Wm. Alexander, Rep. John Hood, Rep. Grace T. Hamilton, Rep. J. C. Dougherty</p><p>From:  Julian Bond and Malcolm Dean</p><p>Date:  June 12, 1968</p><p>We want to invite you and your district chairman to a meeting on Monday, June 17 at Paschall's Motor Hotel, at twelve o'clock noon.</p><p>We hope at this meeting to discuss political plans for the summer and to determine whether we, as elected officials, and political leaders in our community can have some positive influence in local politics. If you have questions about the meeting, please contact either one of the above.</p><p>Sincerely,<br/>[signed] [(s)?]<br/>Julian Bond</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 1861,"<p>[Letterhead content]:</p><p>COMMITTEES</p><p>EDUCATION<br/>Transportation<br/>INSURANCE<br/>Surety &amp; Title<br/>STATE INSTITUTIONS &amp; PROPERTY</p><p>[Image]:  Inner circle:  Three pillars supporting an arch, underneath which stands a soldier with musket and bayonet. The text on the arch reads: CONSTITUTION, while the banners wrapped around the pillars read, left to right: WISDOM, JUSTICE, MODERATION. Outer circle: STATE OF GEORGIA 1776</p><p>The House of Representatives<br/>Atlanta, Georgia</p><p>May 5, 1968</p><p>Dear Friends:</p><p>Once again I am pleased to send you a copy of my newsletter to give you a progress report of what I have been doing as your Representative. I hope that through this newsletter you will know what I am doing and you will begin to let me know how you want me to serve you. We got many responses from the last newsletter, and I hope that each one of you will send me the name and address of someone in the 136th District you think would like to receive future issues.</p><p>******</p><p>With this issue of the newsletter, I hope to include more information that will help you help me make decisions about how all our lives will be. If you like the newsletter, or if there is something you would like to see in future issues, please let me know.</p><p>******</p><p>I am pleased to report that Governor Maddox did veto the welfare bill I mentioned in the last newsletter. You may remember that this bill would have let the State of Georgia sue to collect money from the children and heirs of welfare recipients after their deaths. This would have meant that if a person on welfare had managed to save a few pennies and buy a home or some furniture, the state could have taken these things away. I asked Maddox to kill this bill and he did. It was one of the few nice things he has done since he became Governor. Incidentally, the Republicans in the House said this bill was the one they were proudest of. We should remember that during this year's elections.</p>                       <p>[First box:  image]:  illustration of buildings surrounded by smoke in the background on the right side of the picture. Left side of picture is a high rise apartment building with a couple lounging on the patio (woman reading; man sitting and smoking) furnished with umbrellas, chairs and tables. Text above the box reads:  ""WE'RE to Blame for the Riots?! . . . Why, I've Never Been in a Ghetto in My Life!""</p><p>[Second box]:  Text inside the box reads ""Race prejudice has shaped our history decisively; it now threatens to affect our future.""</p><p>The comment above is from the Commission that investigated last year's riots in America's big cities. The cartoon explains the attitude of too many people about doing something for America's poor people. I hope that Dr. King's death will finally begin to make people realize that changes must come quickly before the entire country explodes. We can be thankful that Atlanta was quiet during the dark days after Dr. King was killed.</p><p>******</p><p>Some of you may know of an elderly person who wants a job. If you do know someone over 50 who would like to work, have them contact the Golden Age Employment Service, 793 Piedmont Avenue, N. E., or call 876-4482.</p><p>******</p><p>I was recently honored by being named to the NASH-Washington Technical Advisory Committee for 1968 - 1969 and was selected Assistant Secretary of the group. Rev. Samuel Williams is Chairman. This body will meet with and provide assistance and guidance for the Economic Opportunity Program in our neighborhood. I have been chosen Chairman of the Voter Registration Committee also.</p>                       <p><u>Page 3</u></p><p>******</p><p>I met recently with a group of ladies who are interested in cleaning up their neighborhood. They want to establish a small playground and park near the corner of Jeptha and Parsons Streets, and I have tried to get the city to help them in their clean-up campaign.</p><p>******</p><p>Let me remind you all again to register to vote. You can register easily at the Fulton County Court House. You may know someone who cannot read and is ashamed to admit it. Even people who cannot read can vote, so encourage your friends and neighbors to go down and register.</p><p>******</p><p>My wife has presented me with a 6 pound, 15 ounce baby boy on April 12. We now have three sons and one daughter.</p><p>******</p><p>I have enclosed two maps that show where the proposed Rapid Transit system will come through the 136th District. At the top of the colored piece of paper I have enclosed in this newsletter is a street map that shown how the new line will run South of Lena Street to a station near Ashby and Lena Streets just below Mayson Turner Avenue. From the station, the line will run almost underground under Mayson Turner, under Taliaferro Street, under Leach Street, under Raymond Street and under Chestnut Street and Griffin Street until it gets to Sunset Avenue where it will be level with the street on up past Electric Avenue. I say ""almost underground"" because it will be in what is called a ""cut"", a small valley which will help cut down the small amount of noise the system vill make. Those of you who live in this neighborhood may want to attend a public hearing on the Rapid Transit routes and station locations either at the West Side YMCA on May 16th or at the AME Zion Church on Hightower Road on May 22. At either of these meetings you will have a chance to make any objections or suggestions you have about the line.</p><p>******</p>                       <p><u>Page 4</u></p><p>******</p><p>If any of you want to make a contribution to the Martin Luther King Memorial Fund, to honor Dr. King's memory and to support the work of the organization he headed, Mrs. King and Rev. Ralph Abernathy have asked that contributions be sent to:</p><p>The Martin Luther King Memorial Fund <br/>c/o The Southern Christian <br/>Leadership Conference <br/>334 Auburn Avenue, NE <br/>Atlanta, Georgia  30303</p><p>Sincerely,<br/>[signed] Julian Bond<br/>Julian Bond</p><p>[Quote in box]:  Title reads:  I have a dream.  Text reads:  I have a dream that my four children will one day live in a nation where they will not be judged by the color of their skin but by the content of their character. I have a dream today.  MARTIN LUTHER KING</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 1891,"<p>[Letterhead content]:</p><p>JULIAN BOND<br/>Representative, District 136<br/>162 Eurahlee Street, S.W.<br/>Atlanta, Georgia  30314</p><p>COMMITTEES</p><p>EDUCATION<br/>Transportation<br/>INSURANCE<br/>Surety &amp; Title<br/>STATE INSTITUTIONS &amp; PROPERTY</p><p>[Image]: inner circle:  Three pillars supporting an arch, underneath which stands a soldier with musket and bayonet. The text on the arch reads: CONSTITUTION, while the banners wrapped around the pillars read, left to right: WISDOM, JUSTICE, MODERATION. Outer circle: STATE OF GEORGIA 1776</p><p>The House of Representatives<br/>Atlanta, Georgia</p><p>Dear friends:</p><p>The last day for you to register to vote if you want to vote in the September primary is July 22. The last day of voter registration for the November 5 General Election will be September 16. If you don't register, you can't vote.</p><p>.   .   .   .   .   .   .</p><p>If you have legal problems and can't afford a lawyer, try the new Hunter Street Office of the Atlanta Legal Aid Society. It is located at 947 Hunter Street, Northwest, and will handle civil cases, including consumer, welfare and housing cases.</p><p>.   .   .   .   .   .   .</p><p>I have been chosen as a member of the Fifth District's 12-man delegation to the Executive Committee of the Georgia Democratic Forum and a member of the Advisory Board of the Martin Luther King Jr. Memorial Library. I have also been selected as a member of the Board of Directors of the Atlanta NAACP. These are great honors, and I will try to live up to them.</p><p>.   .   .   .   .   .   .</p><p>The numbers of all of the Fulton County House Districts have been changed and will all be new next January. Our district, the 136th, is now the 111th. Rep. Grace Hamilton's District used to be the 137th; it is now the 112th. Rep. Ben Brown's District used to be the 135th; it is now the 110th.</p><p>.   .   .   .   .   .   .</p><p>I know you have all read of Attorney Maynard Jackson, who is running against Senator Herman Talmadge. You can vote for Jackson in the September Democratic primary. Herman Talmadge has never done anything for us and never will. I hope you will urge all of your friends and neighbors..in Atlanta and all across Georgia..to vote for Maynard Jackson.<br/></p>                       <p>page two</p><p>The statement on the right is from Rev. Ralph D. Abernathy. It explains what were the reasons behind the Poor People's Campaign in Washington. We should support efforts like this one, and do all we can to help those people who are not as fortunate as we are.</p><p>[Statement in box]:  There are those who like salve their consciences and confirm their prejudices by saying that most of the poor really don't want to work, that poor people really prefer the shabby and insulting handouts which represents welfare in too many cities and counties of this country.</p><p>We are here to tell you that this is not true. We are here because we want to work.</p><p>But we are tired of being told that there are no jobs for which we are qualified.</p><p>We want training programs.</p><p>But we are tired of training programs that either screen us out by discrimination or meaningless tests, which ask our families to suffer from inadequate support while we are in training.</p><p>But the most bitter mockery of all is to find that either there is no job at all waiting at the end, or that we are once again condemned to exchange our manhood for dead-end jobs which pay a boy's wages.</p><p>---<i>REV. RALPH ABERNATHY, statement for Southern Christian Leadership Conference, before Senate Subcommittee on Employment, Manpower and Poverty, April 30, 1968</i></p><p>.   .   .   .   .   .   .</p><p>Congress will be considering gun control bills. After the killings of Martin Luther King, Jr. and Senator Robert Kennedy, we need a law that will regulate the sale and possession of guns. We have to buy licenses for cars, and we have to register our cars before we can drive them. We should have to do the same thing for guns. You can write your United States Senator and Congressman to let them know you want a strong gun law. Write to:  Senator Herman Talmadge and Senator Richard Russell, Senate Office Building, Washington, D. C., and to Representative Fletcher Thompson, House Office Building, Washington, D. C.</p><p>.   .   .   .   .   .   .</p><p>If you do write your Senators and Representatives, ask them to support the aims of the poor people's march. The statement at the left tells how great the problem of poverty is in America, and indicates it is getting worse instead of better.</p><p>Don't forget....write today!</p><p>[Statement in box]:  <i>""we believe the situation is worsening""</i></p><p>""We have found concrete evidence of chronic hunger and malnutrition in every part of the United States where we have held hearings or conducted field trips.</p><p>""These conditions are not confined to Mississippi. . . . We are convinced that chronic hunger and malnutrition are not confined to those places we visited personally but are national in scope and distribution. . . . This prevalence is shocking. A thousand people who must go without food for days each month would be shocking in a wealthy nation. We believe that, in America, the number reaches well into the millions. And we believe that the situation is worsening."" ---<i>from ""Hunger, U. S. A.,"" a report by the Citizens` Board of Inquiry into Hunger and Malnutrition in the United States, Washington, 1968</i>.</p>                       <p>page three</p><p>Fulton County has switched to using voting machines called Vote Recorders. Some of you may have used machines like these in the last election; others may be using them for the first time. I am enclosing a leaflet which tells how the machines are operated. If you know of anyone who needs this information, please pass it on to them.</p><p>.   .   .   .   .   .   .</p><p>I want to thank all of you who wrote in about the last newsletter. I'm sorry this one is so late getting to you, but hope it also contains useful information. Once again, if you know of others in our District who would like to receive it, please send me their names and addresses.</p><p>.   .   .   .   .   .   .</p><p>I was honored to be invited to the funeral of the late Senator Robert Kennedy, and rode on the train from New York.....where services were held at St. Patrick's Cathedral.....to Washington where the body was interred at Arlington National Cemetery. We have suffered two great losses in the deaths of Senator Kennedy and Martin Luther King...we must all dedicate ourselves to the things they lived for.</p><p>.   .   .   .   .   .   .</p><p>If something comes up at night and you need help fast, call the Night Mayor's Office at City Hall. There is someone there from five o'clock until midnight every night and all day Saturday and Sunday afternoon and evening. You can get things done faster at night than you can in the daytime, some people say.</p><p>.   .   .   .   .   .   .</p><p>I have been trying to help some parents in the Harris Homes Housing Project get new playground equipment. They also want to see if the city will turn on the fire hydrants on Norcross Street during the day so that children there can have some place to cool off.</p><p>.   .   .   .   .   .   .</p><p>[Quote inside box]:  Have your written your Congressman about gun control?</p>                       <p>page four</p><p>The cartoon at the right shows how the poor are suffering because of the war in Viet Nam. This country spends $70 billion dollars a year for guns and weapons, and only $2 billion for the War on Poverty.</p><p>We will never have an end to poverty until we have an end to war.</p><p>[image]:  illustration of a man from the torso down wearing a military uniform and combat boots with tactical gear (barrel of a rifle, pocket knife, buckled-up sleeping bag and a radio walkie talkie). Text on the bottom of his coat reads:  $70 BILLION FOR '68 MILITARY BUDGET.  Walking behind the soldier is a young boy shabbily dressed wearing a cap and tattered clothing while carrying a large spoon. Text on the back of the boy's shirt reads:  $2 BILLION FOR '68 WAR ON POVERTY.  Caption under the drawing:  Tail Gunner.</p><p>.   .   .   .   .   .   .</p><p>Remember ..... register, then .... VOTE!</p><p>Sincerely,<br/>[signed] Julian Bond<br/>Julian Bond</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 1892,"<p>[Letterhead content]:</p><p>JULIAN BOND<br/>Representative, District 136<br/>162 Eurahlee Street, S.W.<br/>Atlanta, Georgia 30314</p><p>COMMITTEES</p><p>EDUCATION<br/>Transportation<br/>INSURANCE<br/>Surety &amp; Title<br/>STATE INSTITUTIONS &amp; PROPERTY</p><p>[Image]: inner circle: Three pillars supporting an arch, underneath which stands a soldier with musket and bayonet. The text on the arch reads: CONSTITUTION, while the banners wrapped around the pillars read, left to right: WISDOM, JUSTICE, MODERATION. Outer circle: STATE OF GEORGIA 1776</p><p>The House of Representatives<br/>Atlanta, Georgia</p><p>Dear friends:</p><p>The last day for you to register to vote if you want to vote in the September primary is July 22. The last day of voter registration for the November 5 General Election will be September 16. If you don't register, you can't vote.</p><p>. . . . . . .</p><p>If you have legal problems and can't afford a lawyer, try the new Hunter Street Office of the Atlanta Legal Aid Society. It is located at 947 Hunter Street, Northwest, and will handle civil cases, including consumer, welfare and housing cases.</p><p>. . . . . . .</p><p>I have been chosen as a member of the Fifth District's 12-man delegation to the Executive Committee of the Georgia Democratic Forum and a member of the Advisory Board of the Martin Luther King Jr. Memorial Library. I have also been selected as a member of the Board of Directors of the Atlanta NAACP. These are great honors, and I will try to live up to them.</p><p>. . . . . . .</p><p>The numbers of all of the Fulton County House Districts have been changed and will all be new next January. Our district, the 136th, is now the 111th. Rep. Grace Hamilton's District used to be the 137th; it is now the 112th. Rep. Ben Brown's District used to be the 135th; it is now the 110th.</p><p>. . . . . . .</p><p>I know you have all read of Attorney Maynard Jackson, who is running against Senator Herman Talmadge. You can vote for Jackson in the September Democratic primary. Herman Talmadge has never done anything for us and never will. I hope you will urge all of your friends and neighbors..in Atlanta and all across Georgia..to vote for Maynard Jackson.</p>                       <p>page two</p><p>The statement on the right is from Rev. Ralph D. Abernathy. It explains what were the reasons behind the Poor People's Campaign in Washington. We should support efforts like this one, and do all we can to help those people who are not as fortunate as we are.</p><p>[Statement in box]:  There are those who like salve their consciences and confirm their prejudices by saying that most of the poor really don't want to work, that poor people really prefer the shabby and insulting handouts which represents welfare in too many cities and counties of this country.</p><p>We are here to tell you that this is not true. We are here because we want to work.</p><p>But we are tired of being told that there are no jobs for which we are qualified.</p><p>We want training programs.</p><p>But we are tired of training programs that either screen us out by discrimination or meaningless tests, which ask our families to suffer from inadequate support while we are in training.</p><p>But the most bitter mockery of all is to find that either there is no job at all waiting at the end, or that we are once again condemned to exchange our manhood for dead-end jobs which pay a boy's wages.</p><p>---<i>REV. RALPH ABERNATHY, statement for Southern Christian Leadership Conference, before Senate Subcommittee on Employment, Manpower and Poverty, April 30, 1968</i></p><p>.   .   .   .   .   .   .</p><p>Congress will be considering gun control bills. After the killings of Martin Luther King, Jr. and Senator Robert Kennedy, we need a law that will regulate the sale and possession of guns. We have to buy licenses for cars, and we have to register our cars before we can drive them. We should have to do the same thing for guns. You can write your United States Senator and Congressman to let them know you want a strong gun law. Write to:  Senator Herman Talmadge and Senator Richard Russell, Senate Office Building, Washington, D. C., and to Representative Fletcher Thompson, House Office Building, Washington, D. C.</p><p>.   .   .   .   .   .   .</p><p>If you do write your Senators and Representatives, ask them to support the aims of the poor people's march. The statement at the left tells how great the problem of poverty is in America, and indicates it is getting worse instead of better.</p><p>Don't forget....write today!</p><p>[Statement in box]:  <i>""we believe the situation is worsening""</i></p><p>""We have found concrete evidence of chronic hunger and malnutrition in every part of the United States where we have held hearings or conducted field trips.</p><p>""These conditions are not confined to Mississippi. . . . We are convinced that chronic hunger and malnutrition are not confined to those places we visited personally but are national in scope and distribution. . . . This prevalence is shocking. A thousand people who must go without food for days each month would be shocking in a wealthy nation. We believe that, in America, the number reaches well into the millions. And we believe that the situation is worsening."" ---<i>from ""Hunger, U. S. A.,"" a report by the Citizens` Board of Inquiry into Hunger and Malnutrition in the United States, Washington, 1968</i>.</p>                       <p>page three</p><p>Fulton County has switched to using voting machines called Vote Recorders. Some of you may have used machines like these in the last election; others may be using them for the first time. I am enclosing a leaflet which tells how the machines are operated. If you know of anyone who needs this information, please pass it on to them.</p><p>.   .   .   .   .   .   .</p><p>I want to thank all of you who wrote in about the last newsletter. I'm sorry this one is so late getting to you, but hope it also contains useful information. Once again, if you know of others in our District who would like to receive it, please send me their names and addresses.</p><p>.   .   .   .   .   .   .</p><p>I was honored to be invited to the funeral of the late Senator Robert Kennedy, and rode on the train from New York.....where services were held at St. Patrick's Cathedral.....to Washington where the body was interred at Arlington National Cemetery. We have suffered two great losses in the deaths of Senator Kennedy and Martin Luther King...we must all dedicate ourselves to the things they lived for.</p><p>.   .   .   .   .   .   .</p><p>If something comes up at night and you need help fast, call the Night Mayor's Office at City Hall. There is someone there from five o'clock until midnight every night and all day Saturday and Sunday afternoon and evening. You can get things done faster at night than you can in the daytime, some people say.</p><p>.   .   .   .   .   .   .</p><p>I have been trying to help some parents in the Harris Homes Housing Project get new playground equipment. They also want to see if the city will turn on the fire hydrants on Norcross Street during the day so that children there can have some place to cool off.</p><p>.   .   .   .   .   .   .</p><p>[Quote inside box]:  Have your written your Congressman about gun control?</p>                       <p>page four</p><p>The cartoon at the right shows how the poor are suffering because of the war in Viet Nam. This country spends $70 billion dollars a year for guns and weapons, and only $2 billion for the War on Poverty.</p><p>We will never have an end to poverty until we have an end to war.</p><p>[image]:  illustration of a man from the torso down wearing a military uniform and combat boots with tactical gear (barrel of a rifle, pocket knife, buckled-up sleeping bag and a radio walkie talkie). Text on the bottom of his coat reads:  $70 BILLION FOR '68 MILITARY BUDGET.  Walking behind the soldier is a young boy shabbily dressed wearing a cap and tattered clothing while carrying a large spoon. Text on the back of the boy's shirt reads:  $2 BILLION FOR '68 WAR ON POVERTY.  Caption under the drawing:  Tail Gunner.</p><p>.   .   .   .   .   .   .</p><p>Remember ..... register, then .... VOTE!</p><p>Sincerely,<br/>[signed] Julian Bond<br/>Julian Bond</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 1859,"<p>July 8, 1968</p><p>Dear Mrs. Linton,</p><p>Many thanks for your kind letter and for the pictures you sent along.</p><p>I am sending you a picture of three of my four...it isn't perfect, but will give you some idea of what they are like.</p><p>Thanks again.</p><p>Sincerely,</p><p>Julian Bond</p><p>Mrs. A. L. Linton<br/>1730 Glenwood Avenue<br/>Youngstown, Ohio  44511</p><p>:nb</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 2044,"<p>September 30, 1968</p><p>Dear Ms. Weinreb,</p><p>Thank you for your letter of August 30. I have a bureau already.</p><p>Sincerely,</p><p>Julian Bond</p><p>Ms. Ann Weinreb<br/>Director<br/>Public Affairs Lecture Bureau<br/>70 Fifth Avenue<br/>New York, N. Y.  10011</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 1883,"<p>July 18, 1968</p><p>Dear Art,</p><p>It was good to hear from you so quickly. I hope I can get onto something, as I am ""at liberty"" as they say.</p><p>Sincerely,</p><p>Julian Bond</p><p>Mr. Art Goldberg<br/><u>Ramparts</u><br/>250 East 65th Street<br/>New York New York  10021</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 1847,"<p>July 2, 1968</p><p>Dr. B. R. Brazeal<br/>Dean<br/>Morehouse College<br/>Atlanta, Georgia</p><p>Dear Dr. Brazeal:</p><p>Following the example set so well by Lonnie King, I am considering trying to complete work toward my degree at Morehouse.</p><p>Can you tell me what needs to be done? I had received a copy of my transcript from you early last year, but it was destroyed in a fire at my home some time ago.</p><p>The pressures of the legislature and earning a living out of session have been so great that I am just now in a position to begin to think about setting time aside for something I should have completed some year<strike>x</strike>s ago.</p><p>Sincerely,</p><p>Julian Bond</p><p>:nb</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
